nb;t;date;jour;mois;an;joursem;vacances
462;0;02/01/2010;2;1;2010;Samedi;0
1021;0;04/01/2010;4;1;2010;Lundi;0
735;0;05/01/2010;5;1;2010;Mardi;0
604;0;06/01/2010;6;1;2010;Mercredi;0
466;0;07/01/2010;7;1;2010;Jeudi;0
434;0;08/01/2010;8;1;2010;Vendredi;0
192;0;09/01/2010;9;1;2010;Samedi;0
535;0;11/01/2010;11;1;2010;Lundi;0
395;0;12/01/2010;12;1;2010;Mardi;0
374;0;13/01/2010;13;1;2010;Mercredi;0
311;0;14/01/2010;14;1;2010;Jeudi;0
309;0;15/01/2010;15;1;2010;Vendredi;0
154;0;16/01/2010;16;1;2010;Samedi;0
359;0;18/01/2010;18;1;2010;Lundi;0
330;0;19/01/2010;19;1;2010;Mardi;0
388;0;20/01/2010;20;1;2010;Mercredi;0
369;0;21/01/2010;21;1;2010;Jeudi;0
310;0;22/01/2010;22;1;2010;Vendredi;0
195;0;23/01/2010;23;1;2010;Samedi;0
431;0;25/01/2010;25;1;2010;Lundi;0
401;0;26/01/2010;26;1;2010;Mardi;0
485;0;27/01/2010;27;1;2010;Mercredi;0
525;0;28/01/2010;28;1;2010;Jeudi;0
677;0;29/01/2010;29;1;2010;Vendredi;0
483;0;30/01/2010;30;1;2010;Samedi;0
1097;1;01/02/2010;1;2;2010;Lundi;0
740;1;02/02/2010;2;2;2010;Mardi;0
541;1;03/02/2010;3;2;2010;Mercredi;0
469;1;04/02/2010;4;2;2010;Jeudi;0
319;1;05/02/2010;5;2;2010;Vendredi;0
181;1;06/02/2010;6;2;2010;Samedi;1
350;1;08/02/2010;8;2;2010;Lundi;1
285;1;09/02/2010;9;2;2010;Mardi;1
243;1;10/02/2010;10;2;2010;Mercredi;1
171;1;11/02/2010;11;2;2010;Jeudi;1
180;1;12/02/2010;12;2;2010;Vendredi;1
61;1;13/02/2010;13;2;2010;Samedi;1
235;1;15/02/2010;15;2;2010;Lundi;1
248;1;16/02/2010;16;2;2010;Mardi;1
186;1;17/02/2010;17;2;2010;Mercredi;1
187;1;18/02/2010;18;2;2010;Jeudi;1
260;1;19/02/2010;19;2;2010;Vendredi;1
164;1;20/02/2010;20;2;2010;Samedi;1
461;1;22/02/2010;22;2;2010;Lundi;0
444;1;23/02/2010;23;2;2010;Mardi;0
480;1;24/02/2010;24;2;2010;Mercredi;0
565;1;25/02/2010;25;2;2010;Jeudi;0
766;1;26/02/2010;26;2;2010;Vendredi;0
475;1;27/02/2010;27;2;2010;Samedi;0
1158;2;01/03/2010;1;3;2010;Lundi;0
810;2;02/03/2010;2;3;2010;Mardi;0
512;2;03/03/2010;3;3;2010;Mercredi;0
386;2;04/03/2010;4;3;2010;Jeudi;0
356;2;05/03/2010;5;3;2010;Vendredi;0
194;2;06/03/2010;6;3;2010;Samedi;0
398;2;08/03/2010;8;3;2010;Lundi;0
337;2;09/03/2010;9;3;2010;Mardi;0
357;2;10/03/2010;10;3;2010;Mercredi;0
299;2;11/03/2010;11;3;2010;Jeudi;0
257;2;12/03/2010;12;3;2010;Vendredi;0
133;2;13/03/2010;13;3;2010;Samedi;0
346;2;15/03/2010;15;3;2010;Lundi;0
303;2;16/03/2010;16;3;2010;Mardi;0
316;2;17/03/2010;17;3;2010;Mercredi;0
274;2;18/03/2010;18;3;2010;Jeudi;0
258;2;19/03/2010;19;3;2010;Vendredi;0
160;2;20/03/2010;20;3;2010;Samedi;0
433;2;22/03/2010;22;3;2010;Lundi;0
393;2;23/03/2010;23;3;2010;Mardi;0
418;2;24/03/2010;24;3;2010;Mercredi;0
309;2;25/03/2010;25;3;2010;Jeudi;0
434;2;26/03/2010;26;3;2010;Vendredi;0
260;2;27/03/2010;27;3;2010;Samedi;0
727;2;29/03/2010;29;3;2010;Lundi;0
748;2;30/03/2010;30;3;2010;Mardi;0
1064;2;31/03/2010;31;3;2010;Mercredi;0
932;3;01/04/2010;1;4;2010;Jeudi;0
562;3;02/04/2010;2;4;2010;Vendredi;0
209;3;03/04/2010;3;4;2010;Samedi;1
529;3;06/04/2010;6;4;2010;Mardi;1
419;3;07/04/2010;7;4;2010;Mercredi;1
346;3;08/04/2010;8;4;2010;Jeudi;1
334;3;09/04/2010;9;4;2010;Vendredi;1
169;3;10/04/2010;10;4;2010;Samedi;1
306;3;12/04/2010;12;4;2010;Lundi;1
284;3;13/04/2010;13;4;2010;Mardi;1
281;3;14/04/2010;14;4;2010;Mercredi;1
221;3;15/04/2010;15;4;2010;Jeudi;1
236;3;16/04/2010;16;4;2010;Vendredi;1
122;3;17/04/2010;17;4;2010;Samedi;1
330;3;19/04/2010;19;4;2010;Lundi;0
402;3;20/04/2010;20;4;2010;Mardi;0
407;3;21/04/2010;21;4;2010;Mercredi;0
361;3;22/04/2010;22;4;2010;Jeudi;0
311;3;23/04/2010;23;4;2010;Vendredi;0
176;3;24/04/2010;24;4;2010;Samedi;0
419;3;26/04/2010;26;4;2010;Lundi;0
466;3;27/04/2010;27;4;2010;Mardi;0
471;3;28/04/2010;28;4;2010;Mercredi;0
613;3;29/04/2010;29;4;2010;Jeudi;0
868;3;30/04/2010;30;4;2010;Vendredi;0
930;4;03/05/2010;3;5;2010;Lundi;0
677;4;04/05/2010;4;5;2010;Mardi;0
540;4;05/05/2010;5;5;2010;Mercredi;0
380;4;06/05/2010;6;5;2010;Jeudi;0
386;4;07/05/2010;7;5;2010;Vendredi;0
397;4;10/05/2010;10;5;2010;Lundi;0
380;4;11/05/2010;11;5;2010;Mardi;0
445;4;12/05/2010;12;5;2010;Mercredi;0
271;4;14/05/2010;14;5;2010;Vendredi;0
128;4;15/05/2010;15;5;2010;Samedi;0
441;4;17/05/2010;17;5;2010;Lundi;0
371;4;18/05/2010;18;5;2010;Mardi;0
415;4;19/05/2010;19;5;2010;Mercredi;0
347;4;20/05/2010;20;5;2010;Jeudi;0
345;4;21/05/2010;21;5;2010;Vendredi;0
175;4;22/05/2010;22;5;2010;Samedi;0
493;4;25/05/2010;25;5;2010;Mardi;0
471;4;26/05/2010;26;5;2010;Mercredi;0
342;4;27/05/2010;27;5;2010;Jeudi;0
644;4;28/05/2010;28;5;2010;Vendredi;0
318;4;29/05/2010;29;5;2010;Samedi;0
1186;4;31/05/2010;31;5;2010;Lundi;0
878;5;01/06/2010;1;6;2010;Mardi;0
670;5;02/06/2010;2;6;2010;Mercredi;0
476;5;03/06/2010;3;6;2010;Jeudi;0
387;5;04/06/2010;4;6;2010;Vendredi;0
158;5;05/06/2010;5;6;2010;Samedi;0
473;5;07/06/2010;7;6;2010;Lundi;0
428;5;08/06/2010;8;6;2010;Mardi;0
363;5;09/06/2010;9;6;2010;Mercredi;0
221;5;10/06/2010;10;6;2010;Jeudi;0
243;5;11/06/2010;11;6;2010;Vendredi;0
149;5;12/06/2010;12;6;2010;Samedi;0
298;5;14/06/2010;14;6;2010;Lundi;0
291;5;15/06/2010;15;6;2010;Mardi;0
262;5;16/06/2010;16;6;2010;Mercredi;0
238;5;17/06/2010;17;6;2010;Jeudi;0
236;5;18/06/2010;18;6;2010;Vendredi;0
150;5;19/06/2010;19;6;2010;Samedi;0
401;5;21/06/2010;21;6;2010;Lundi;0
346;5;22/06/2010;22;6;2010;Mardi;0
432;5;23/06/2010;23;6;2010;Mercredi;0
212;5;24/06/2010;24;6;2010;Jeudi;0
466;5;25/06/2010;25;6;2010;Vendredi;0
187;5;26/06/2010;26;6;2010;Samedi;0
660;5;28/06/2010;28;6;2010;Lundi;0
835;5;29/06/2010;29;6;2010;Mardi;0
926;5;30/06/2010;30;6;2010;Mercredi;0
809;6;01/07/2010;1;7;2010;Jeudi;0
668;6;02/07/2010;2;7;2010;Vendredi;1
246;6;03/07/2010;3;7;2010;Samedi;1
590;6;05/07/2010;5;7;2010;Lundi;1
497;6;06/07/2010;6;7;2010;Mardi;1
420;6;07/07/2010;7;7;2010;Mercredi;1
308;6;08/07/2010;8;7;2010;Jeudi;1
358;6;09/07/2010;9;7;2010;Vendredi;1
137;6;10/07/2010;10;7;2010;Samedi;1
361;6;12/07/2010;12;7;2010;Lundi;1
396;6;13/07/2010;13;7;2010;Mardi;1
365;6;15/07/2010;15;7;2010;Jeudi;1
309;6;16/07/2010;16;7;2010;Vendredi;1
136;6;17/07/2010;17;7;2010;Samedi;1
310;6;19/07/2010;19;7;2010;Lundi;1
302;6;20/07/2010;20;7;2010;Mardi;1
298;6;21/07/2010;21;7;2010;Mercredi;1
310;6;22/07/2010;22;7;2010;Jeudi;1
198;6;23/07/2010;23;7;2010;Vendredi;1
96;6;24/07/2010;24;7;2010;Samedi;1
385;6;26/07/2010;26;7;2010;Lundi;1
419;6;27/07/2010;27;7;2010;Mardi;1
388;6;28/07/2010;28;7;2010;Mercredi;1
391;6;29/07/2010;29;7;2010;Jeudi;1
598;6;30/07/2010;30;7;2010;Vendredi;1
313;6;31/07/2010;31;7;2010;Samedi;1
700;7;02/08/2010;2;8;2010;Lundi;1
555;7;03/08/2010;3;8;2010;Mardi;1
389;7;04/08/2010;4;8;2010;Mercredi;1
384;7;05/08/2010;5;8;2010;Jeudi;1
324;7;06/08/2010;6;8;2010;Vendredi;1
131;7;07/08/2010;7;8;2010;Samedi;1
325;7;09/08/2010;9;8;2010;Lundi;1
354;7;10/08/2010;10;8;2010;Mardi;1
300;7;11/08/2010;11;8;2010;Mercredi;1
281;7;12/08/2010;12;8;2010;Jeudi;1
265;7;13/08/2010;13;8;2010;Vendredi;1
112;7;14/08/2010;14;8;2010;Samedi;1
379;7;16/08/2010;16;8;2010;Lundi;1
349;7;17/08/2010;17;8;2010;Mardi;1
356;7;18/08/2010;18;8;2010;Mercredi;1
350;7;19/08/2010;19;8;2010;Jeudi;1
407;7;20/08/2010;20;8;2010;Vendredi;1
219;7;21/08/2010;21;8;2010;Samedi;1
509;7;23/08/2010;23;8;2010;Lundi;1
586;7;24/08/2010;24;8;2010;Mardi;1
600;7;25/08/2010;25;8;2010;Mercredi;1
558;7;26/08/2010;26;8;2010;Jeudi;1
652;7;27/08/2010;27;8;2010;Vendredi;1
405;7;28/08/2010;28;8;2010;Samedi;1
1131;7;30/08/2010;30;8;2010;Lundi;1
1227;7;31/08/2010;31;8;2010;Mardi;1
1199;8;01/09/2010;1;9;2010;Mercredi;1
1070;8;02/09/2010;2;9;2010;Jeudi;0
967;8;03/09/2010;3;9;2010;Vendredi;0
557;8;04/09/2010;4;9;2010;Samedi;0
