index,Prix,Processeur,RAM,Résolution,Stockage,Systeme_exploitation,Poids,Marque,Coeurs,Taille,Bluetooth,USB,HDMI,Sortie_audio,Caméra,Carte_sd
0,Entre 250 et 400,Intel Atom,4,1366x768,128,Windows 11,1.35,THOMSON,4,14.1,False,True,True,True,True,True
1,<250,Intel Celeron,4,1366x768,64,Windows 10,1.35,THOMSON,4,14.1,False,True,True,True,True,True
2,Entre 250 et 400,Intel Celeron,4,1920x1080,64,Windows 10,1.64,LENOVO,2,14,False,True,True,True,True,True
3,<250,Intel Celeron,4,1366x768,32,ChromeOS,1,ASUS,2,11.6,False,True,False,True,True,True
4,<250,Intel Celeron,4,1366x768,64,Windows 10,1.35,THOMSON,4,14.1,False,True,True,True,False,False
5,Entre 400 et 600,Intel Core i5,8,1920x1080,512,Windows 10,1.2,ACER,4,14,False,True,True,True,True,False
6,Entre 250 et 400,Intel Celeron,4,1600x900,128,Windows 10,1.64,LENOVO,2,17.3,False,True,True,True,True,True
7,Entre 400 et 600,Intel Core i5,8,1600x900,512,Windows 10,2.2,LENOVO,4,17.3,False,True,True,True,True,True
8,<250,Intel Celeron,4,1366x768,64,Windows 10,1.35,THOMSON,4,14.1,False,True,True,True,False,False
9,Entre 250 et 400,AMD Athlon,4,1920x1080,128,Windows 10,1.9,ACER,2,14,False,True,True,True,True,False
10,Entre 400 et 600,Intel Core i3,8,1366x768,256,Windows 10,1.60,ASUS,2,14,False,False,False,False,False,False
11,Entre 250 et 400,AMD 3000,4,1366x768,64,Windows 10,1.64,LENOVO,2,14,False,True,True,True,True,True
12,Entre 250 et 400,Intel Celeron,4,1440x900,128,Windows 10,1.956,THOMSON,4,17.3,False,True,True,True,True,True
13,Entre 250 et 400,Intel Pentium,4,1920x1080,128,Windows 10,1.64,ASUS,4,14,False,True,True,True,True,False
14,Entre 250 et 400,Intel Celeron,6,1920x1080,64,Windows 10,1.345,AUTRES,4,15.6,False,False,False,False,False,False
15,Entre 600 et 800,Intel Core i5,8,1920x1080,512,Windows 10,2.2,ASUS,4,15.6,False,True,True,True,True,False
16,Entre 250 et 400,Intel Celeron,8,1366x768,128,Windows 10,1.64,LENOVO,2,15.6,False,True,True,True,False,False
17,Entre 400 et 600,Intel Core i3,4,1366x768,128,Windows 10,1.78,HP,2,15.6,False,True,True,True,True,True
18,Entre 250 et 400,Intel Pentium,4,1920x1080,128,Windows 10,1.64,ASUS,4,14,False,True,True,True,True,False
19,<250,Intel Atom,4,1366x768,64,Windows 10,1.64,THOMSON,4,13.3,False,True,True,True,True,True
20,Entre 800 et 1150,Intel Core i5,8,1920x1080,512,Windows 10,2.3,ACER,4,15.6,False,True,True,True,True,False
21,Entre 800 et 1150,Intel Core i5,16,1920x1080,512,Windows 10,2.48,HP,6,16.1,False,True,True,True,True,True
22,Entre 600 et 800,Intel Core i5,8,1920x1080,512,Windows 10,1.8,ASUS,4,15.6,False,True,True,True,True,False
23,Entre 400 et 600,AMD Ryzen,8,1920x1080,512,Windows 10,1.75,HP,6,15.6,False,False,False,False,False,False
24,Entre 600 et 800,Intel Core i5,16,1920x1080,512,Windows 10,2.3,ASUS,4,15.6,False,True,True,True,True,False
25,Entre 800 et 1150,AMD Ryzen,8,1920x1080,512,Windows 10,2.4,LENOVO,6,15.6,False,True,True,True,True,False
26,>1150,Intel Core i7,16,1920x1080,1000,Windows 10,2.38,MSI,6,15.6,False,True,True,True,True,False
27,Entre 400 et 600,Intel Core i5,8,1920x1080,512,Windows 10,1.3,MSI,4,14,False,True,True,True,True,True
28,Entre 250 et 400,Intel Celeron,4,1366x768,64,ChromeOS,1.2,ASUS,2,14,False,True,False,False,True,True
29,Entre 800 et 1150,Intel Core i5,8,1920x1080,512,Windows 10,2.3,ACER,4,15.6,False,True,True,True,True,False
30,Entre 600 et 800,Intel Core i5,8,1920x1080,512,Windows 10,2.2,ASUS,4,15.6,False,True,True,True,True,False
31,Entre 400 et 600,Intel Pentium,8,1920x1080,64,ChromeOS,1.64,ACER,4,14,False,True,False,True,True,True
32,Entre 800 et 1150,Intel Core i5,16,1920x1080,512,Aucun,2,ASUS,4,15.6,False,True,True,True,False,False
33,Entre 400 et 600,Intel Core i3,8,1920x1080,512,Windows 10,2.05,HP,2,17.3,False,True,True,True,True,False
34,Entre 600 et 800,Intel Core i5,8,2880x1800,512,Windows 10,1.4,ASUS,4,14,False,True,True,True,True,True
35,Entre 800 et 1150,Intel Core i5,16,1920x1080,512,Windows 10,1.65,ASUS,4,15.6,False,True,True,True,True,True
36,Entre 250 et 400,Intel Celeron,6,,64,Windows 10,1.64,NBD,2,14.1,False,True,True,False,False,False
37,Entre 800 et 1150,AMD Ryzen,8,1920x1080,512,Windows 10,2.4,LENOVO,6,15.6,False,True,True,True,True,False
38,Entre 400 et 600,Intel Pentium,8,1920x1080,128,Windows 10,1.64,ACER,4,15.6,False,True,True,True,True,False
39,Entre 400 et 600,Intel Pentium,8,1920x1080,64,ChromeOS,1.64,HP,4,14,False,True,False,True,True,True
40,Entre 800 et 1150,Intel Core i5,16,1920x1080,512,Windows 10,2.48,HP,6,16.1,False,True,True,True,True,True
42,>1150,Intel Core i7,16,1920x1080,512,DOS,2.1,MSI,8,15.6,False,True,True,True,True,False
43,Entre 250 et 400,Intel Pentium,4,1920x1080,128,Windows 10,1.64,ASUS,4,14,False,True,True,True,True,False
44,Entre 250 et 400,Intel Celeron,4,1920x1080,64,ChromeOS,1.64,ACER,2,14,False,True,False,True,True,False
45,Entre 400 et 600,AMD A9,8,1600x900,512,Windows 10,2.1,ASUS,2,17.3,False,True,True,True,True,True
46,>1150,Intel Core i7,16,1920x1080,512,Windows 10,2.9,MSI,8,17.3,False,True,True,True,True,False
47,Entre 400 et 600,Intel Core i3,8,2256x1504,128,ChromeOS,1.45,ACER,2,13.5,False,True,False,True,True,False
48,Entre 250 et 400,Intel Celeron,6,,256,Windows 10,1.64,NBD,2,14.1,False,True,True,False,False,False
49,Entre 400 et 600,Intel Core i3,8,1600x900,512,Windows 10,2.3,ASUS,2,17.3,False,True,True,True,True,True
50,Entre 400 et 600,Intel Core i3,8,1600x900,256,Windows 10,2.08,HP,2,17.3,False,True,True,True,True,False
51,<250,Intel Celeron,4,1366x768,64,Windows 10,1.35,THOMSON,4,13.3,False,True,True,True,True,True
52,Entre 400 et 600,AMD Ryzen,4,1600x900,256,Windows 10,2.07,HP,4,17.3,False,True,True,True,True,False
53,Entre 250 et 400,MediaTek,4,1920x1080,64,ChromeOS,1.3,LENOVO,8,14,False,True,False,True,True,True
54,Entre 400 et 600,AMD A12,8,1600x900,512,Windows 10,2.1,ASUS,4,17.3,False,True,True,True,True,True
55,Entre 600 et 800,Intel Core i5,16,1920x1080,512,Windows 10,1.2,ACER,4,14,False,True,True,True,True,False
